"Year","Week","Percent of Deaths Due to Pneumonia and Influenza (P&I)","Percent of Deaths Due to Pneumonia, Influenza or COVID-19 (PIC)","Expected","Threshold","All Deaths","Pneumonia Deaths","Influenza Deaths","COVID-19 Deaths","Pneumonia, Influenza or COVID-19 Deaths (PIC)"
2013,40,6.6179567085,6.6179567085,6.36132,6.77011,47492,3140,3,0,3143
2013,41,6.6527143582,6.6527143582,6.45326,6.86185,47304,3135,12,0,3147
2013,42,6.7791269274,6.7791269274,6.55439,6.96279,47602,3216,11,0,3227
2013,43,6.6225442969,6.6225442969,6.66322,7.07142,47746,3151,11,0,3162
2013,44,6.7306312401,6.7306312401,6.77811,7.18613,48777,3271,12,0,3283
2013,45,7.0414189093,7.0414189093,6.89738,7.3052,48939,3429,17,0,3446
2013,46,6.7497824283,6.7497824283,7.01924,7.42687,49409,3320,15,0,3335
2013,47,6.9730394628,6.9730394628,7.1419,7.54933,49591,3430,28,0,3458
2013,48,6.9347508521,6.9347508521,7.26355,7.67079,49288,3385,33,0,3418
2013,49,7.1557899709,7.1557899709,7.38238,7.78943,50812,3594,42,0,3636
2013,50,7.5682765005,7.5682765005,7.49666,7.90351,51848,3856,68,0,3924
2013,51,7.6577605237,7.6577605237,7.60468,8.01135,52548,3917,107,0,4024
2013,52,7.9859106132,7.9859106132,7.70487,8.11134,51954,3942,207,0,4149
2014,1,9.0845956041,9.0845956041,7.79573,8.20201,53277,4490,350,0,4840
2014,2,9.7914419274,9.7914419274,7.87593,8.28201,55620,4987,459,0,5446
2014,3,10.036643459,10.036643459,7.94428,8.35017,54580,5004,474,0,5478
2014,4,9.6607192382,9.6607192382,7.99977,8.40546,54085,4783,442,0,5225
2014,5,9.2818089148,9.2818089148,8.04157,8.44707,53955,4623,385,0,5008
2014,6,8.9705414162,8.9705414162,8.06905,8.47436,53397,4475,315,0,4790
2014,7,8.6518628635,8.6518628635,8.08179,8.48691,53815,4385,271,0,4656
2014,8,7.974621025,7.974621025,8.07959,8.48451,52642,3989,209,0,4198
2014,9,7.7969578511,7.7969578511,8.06246,8.46718,51674,3868,161,0,4029
2014,10,8.0160590111,8.0160590111,8.03061,8.43515,52058,4048,125,0,4173
2014,11,7.7903518597,7.7903518597,7.98451,8.38885,51782,3941,93,0,4034
2014,12,7.6033862022,7.6033862022,7.92477,8.32892,51385,3833,74,0,3907
2014,13,7.5897597232,7.5897597232,7.85226,8.25622,50858,3795,65,0,3860
2014,14,7.6119726497,7.6119726497,7.768,8.17176,50749,3808,55,0,3863
2014,15,7.4982189504,7.4982189504,7.67317,8.07674,50532,3717,72,0,3789
2014,16,7.2985362715,7.2985362715,7.56914,7.97251,49736,3577,53,0,3630
2014,17,7.0959052807,7.0959052807,7.45737,7.86055,49747,3476,54,0,3530
2014,18,7.1304698528,7.1304698528,7.33946,7.74245,49590,3483,53,0,3536
2014,19,7.0566960116,7.0566960116,7.21708,7.61988,50321,3512,39,0,3551
2014,20,6.7784940852,6.7784940852,7.09198,7.49458,47931,3222,27,0,3249
2014,21,6.7204411704,6.7204411704,6.96593,7.36833,48598,3242,24,0,3266
2014,22,6.5506716774,6.5506716774,6.84072,7.24293,48163,3140,15,0,3155
2014,23,6.7811518325,6.7811518325,6.71812,7.12014,47750,3218,20,0,3238
2014,24,6.7672639631,6.7672639631,6.59988,7.00171,47715,3214,15,0,3229
2014,25,6.4724442575,6.4724442575,6.48767,6.88931,47540,3070,7,0,3077
2014,26,6.3201030819,6.3201030819,6.38307,6.78451,47341,2989,3,0,2992
2014,27,6.3399661304,6.3399661304,6.28754,6.68879,47240,2989,6,0,2995
2014,28,6.3139643069,6.3139643069,6.20243,6.60349,47292,2982,4,0,2986
2014,29,6.255042677,6.255042677,6.12893,6.52979,47098,2939,7,0,2946
2014,30,6.3367429226,6.3367429226,6.06804,6.46871,47122,2983,3,0,2986
2014,31,6.2297596727,6.2297596727,6.02061,6.42108,46936,2919,5,0,2924
2014,32,6.0296470086,6.0296470086,5.98727,6.38755,46885,2826,1,0,2827
2014,33,6.1505809716,6.1505809716,5.96845,6.36854,46646,2864,5,0,2869
2014,34,6.1612695689,6.1612695689,5.96439,6.36428,46630,2867,6,0,2873
2014,35,6.0722985062,6.0722985062,5.97507,6.37477,46391,2812,5,0,2817
2014,36,6.2626946513,6.2626946513,6.00031,6.39981,47264,2959,1,0,2960
2014,37,6.1461829532,6.1461829532,6.03967,6.43899,46777,2871,4,0,2875
2014,38,6.234476425,6.234476425,6.09255,6.49168,47911,2981,6,0,2987
2014,39,6.2416010255,6.2416010255,6.15813,6.55706,48369,3013,6,0,3019
2014,40,6.3626767123,6.3626767123,6.23694,6.65537,48313,3068,6,0,3074
2014,41,6.3827198053,6.3827198053,6.33393,6.75197,49305,3139,8,0,3147
2014,42,6.2912897652,6.2912897652,6.44181,6.85947,49195,3082,13,0,3095
2014,43,6.5436960558,6.5436960558,6.55892,6.97621,49009,3196,11,0,3207
2014,44,6.477028548,6.477028548,6.68349,7.10039,48865,3148,17,0,3165
2014,45,6.3054380962,6.3054380962,6.81363,7.23015,50845,3195,11,0,3206
2014,46,6.4565459167,6.4565459167,6.94736,7.3635,50352,3233,18,0,3251
2014,47,6.5015538904,6.5015538904,7.08268,7.49843,52449,3379,31,0,3410
2014,48,6.6817382567,6.6817382567,7.21754,7.63292,51753,3412,46,0,3458
2014,49,7.0228022916,7.0228022916,7.34994,7.76494,52714,3619,83,0,3702
2014,50,7.384994677,7.384994677,7.47788,7.8925,53541,3785,169,0,3954
2014,51,8.0752961858,8.0752961858,7.59945,8.01368,54611,4098,312,0,4410
2014,52,8.5264398186,8.5264398186,7.71283,8.12668,56014,4264,512,0,4776
2014,53,10.192113246,10.192113246,7.81631,8.22978,59340,5034,1014,0,6048
2015,1,10.811992808,10.811992808,7.90836,8.32144,61737,5576,1099,0,6675
2015,2,10.745653489,10.745653489,7.98757,8.40028,61141,5589,981,0,6570
2015,3,10.051511223,10.051511223,8.05277,8.4651,58628,5183,710,0,5893
2015,4,9.5007770347,9.5007770347,8.10296,8.5149,57269,4856,585,0,5441
2015,5,9.1037637037,9.1037637037,8.13736,8.54892,57284,4733,482,0,5215
2015,6,8.816022687,8.816022687,8.15544,8.56662,56420,4569,405,0,4974
2015,7,8.4475047917,8.4475047917,8.15689,8.56769,56348,4478,282,0,4760
2015,8,8.477042466,8.477042466,8.14164,8.55206,55668,4498,221,0,4719
2015,9,8.4027129836,8.4027129836,8.10989,8.51993,55732,4494,189,0,4683
2015,10,8.2754378347,8.2754378347,8.06204,8.4717,55272,4418,156,0,4574
2015,11,7.957686779,7.957686779,7.99875,8.40802,54262,4179,139,0,4318
2015,12,7.5284571171,7.5284571171,7.92088,8.32977,53238,3887,121,0,4008
2015,13,7.4025165538,7.4025165538,7.82952,8.23803,53009,3825,99,0,3924
2015,14,7.4521785335,7.4521785335,7.72594,8.13407,52696,3827,100,0,3927
2015,15,7.5599878889,7.5599878889,7.61159,8.01934,52844,3920,75,0,3995
2015,16,7.4949620214,7.4949620214,7.48808,7.89545,51608,3805,63,0,3868
2015,17,7.1930983562,7.1930983562,7.35712,7.76411,51466,3652,50,0,3702
2015,18,6.9261890474,6.9261890474,7.22057,7.62718,51659,3550,28,0,3578
2015,19,6.8992737607,6.8992737607,7.08034,7.48656,50672,3474,22,0,3496
2015,20,6.5866563951,6.5866563951,6.93838,7.34422,49327,3235,14,0,3249
2015,21,6.8023653405,6.8023653405,6.79668,7.20214,49718,3364,18,0,3382
2015,22,6.5231133134,6.5231133134,6.65722,7.0623,49041,3189,10,0,3199
2015,23,6.4762517336,6.4762517336,6.52194,6.92664,49751,3211,11,0,3222
2015,24,6.426520597,6.426520597,6.39271,6.79703,49109,3150,6,0,3156
2015,25,6.5250626822,6.5250626822,6.27133,6.67527,49057,3197,4,0,3201
2015,26,6.3330488846,6.3330488846,6.15946,6.56301,49218,3111,6,0,3117
2015,27,6.3127338144,6.3127338144,6.05862,6.4618,48917,3081,7,0,3088
2015,28,6.169378593,6.169378593,5.97019,6.37298,49227,3030,7,0,3037
2015,29,6.1918101673,6.1918101673,5.89534,6.29775,48548,3003,3,0,3006
2015,30,6.0010775415,6.0010775415,5.83506,6.23709,48258,2892,4,0,2896
2015,31,6.1258694377,6.1258694377,5.79012,6.19177,47732,2920,4,0,2924
2015,32,5.9236717594,5.9236717594,5.76107,6.16234,47977,2834,8,0,2842
2015,33,6.0716792601,6.0716792601,5.74822,6.14911,48438,2935,6,0,2941
2015,34,5.9963708347,5.9963708347,5.75166,6.15217,48496,2903,5,0,2908
2015,35,6.0361636188,6.0361636188,5.77123,6.17135,48723,2938,3,0,2941
2015,36,6.0477420943,6.0477420943,5.80655,6.20629,48762,2946,3,0,2949
2015,37,6.1546963588,6.1546963588,5.85699,6.25636,48857,3001,6,0,3007
2015,38,6.2058178273,6.2058178273,5.92174,6.32072,49228,3047,8,0,3055
2015,39,6.2759963119,6.2759963119,5.99975,6.39835,48805,3057,6,0,3063
2015,40,6.3022571148,6.3022571148,6.1279,6.48839,50950,3197,14,0,3211
2015,41,6.2974111981,6.2974111981,6.22083,6.58097,49830,3131,7,0,3138
2015,42,6.3749580595,6.3749580595,6.32238,6.68217,50667,3214,16,0,3230
2015,43,6.311527469,6.311527469,6.43098,6.79042,50384,3163,17,0,3180
2015,44,6.5932991907,6.5932991907,6.54496,6.90406,51158,3353,20,0,3373
2015,45,6.3925949317,6.3925949317,6.66259,7.02134,50668,3225,14,0,3239
